mall_name,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
Parkway Parade,PARKWAY PARADE,80,MARINE PARADE ROAD,PARKWAY PARADE,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,449269,36008.6027896181,31491.3156742603,1.30106975506311,103.905279491524,103.905279491524
White Sands,WHITE SANDS,1,PASIR RIS CENTRAL STREET 3,WHITE SANDS,1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,518457,40953.5843543084,39384.358354453,1.37244981663527,103.949715694737,103.949715694737
City Plaza,CITY PLAZA,810,GEYLANG ROAD,CITY PLAZA,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,409286,34694.5110424841,33008.0531160496,1.3147868971977,103.893472115119,103.893472115119
Katong Square,KATONG SQUARE,86,EAST COAST ROAD,KATONG SQUARE,86 EAST COAST ROAD KATONG SQUARE SINGAPORE 428788,428788,35900.378342581,31940.8380616587,1.30513510179213,103.904307160288,103.904307160288
Katong V,KATONG V,30,EAST COAST ROAD,KATONG V,30 EAST COAST ROAD KATONG V SINGAPORE 428751,428751,35738.2548797037,31798.767077459,1.30385030375719,103.902850370889,103.902850370889
Kallang Wave Mall,KALLANG WAVE MALL,1,STADIUM PLACE,KALLANG WAVE MALL,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,397628,32432.8422906362,31712.9829503335,1.30307515150401,103.873149707591,103.873149707591
Leisure Park Kallang,LEISURE PARK KALLANG,5,STADIUM WALK,LEISURE PARK KALLANG,5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,397693,32802.8046472063,31627.3966244832,1.30230108405227,103.876473975883,103.876473975883
Elias Mall,ELIAS MALL,623,ELIAS ROAD,ELIAS MALL,623 ELIAS ROAD ELIAS MALL SINGAPORE 510623,510623,40135.4393923711,39979.0977802798,1.37782876616465,103.942364336974,103.942364336974
Loyang Point,LOYANG POINT,258,PASIR RIS STREET 21,LOYANG POINT,258 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510258,510258,42613.6482054582,38789.9653154314,1.36707357525622,103.964632225014,103.964632225014
Jewel Changi Airport,JEWEL CHANGI AIRPORT,78,AIRPORT BOULEVARD,JEWEL CHANGI AIRPORT,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,819666,45334.1767452694,38045.6719939336,1.3603410066102,103.98907755021,103.98907755021
888 Plaza,888 PLAZA,888,WOODLANDS DRIVE 50,888 PLAZA,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,730888,23770.7139348229,46535.313734604,1.43712301500434,103.795314383823,103.795314383823
Admiralty Place,ADMIRALTY PLACE,677,WOODLANDS AVENUE 6,ADMIRALTY PLACE,677 WOODLANDS AVENUE 6 ADMIRALTY PLACE SINGAPORE 730677,730677,24482.0590426456,46785.5494471099,1.43938615380542,103.801706470491,103.801706470491
AMK Hub,AMK HUB,53,ANG MO KIO AVENUE 3,AMK HUB,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,569933,29687.0565410079,39045.6241728477,1.36938922690344,103.84847796594,103.84847796594
Canberra Plaza,CANBERRA PLAZA,133,CANBERRA VIEW,CANBERRA PLAZA,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,750133,27669.1282042367,47239.9100809004,1.44349544527985,103.830345369213,103.830345369213
Causeway Point,CAUSEWAY POINT,1,WOODLANDS SQUARE,CAUSEWAY POINT,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,738099,22732.1066652434,46418.9031902999,1.4360700650803,103.785981524253,103.785981524253
Woodlands Civic Centre,WOODLANDS CIVIC CENTRE,900,SOUTH WOODLANDS DRIVE,WOODLANDS CIVIC CENTRE,900 SOUTH WOODLANDS DRIVE WOODLANDS CIVIC CENTRE SINGAPORE 730900,730900,22837.7549436502,46302.6016107351,1.43501829566013,103.786930895956,103.786930895956
Broadway Plaza,BROADWAY PLAZA,4190,ANG MO KIO AVENUE 6,BROADWAY PLAZA,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841,569841,29405.6611802531,39327.374546783,1.37193729131781,103.845949444498,103.845949444498
Djitsun Mall,DJITSUN MALL BEDOK,445,BEDOK NORTH STREET 1,DJITSUN MALL BEDOK,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,469661,38710.0881669372,34261.3041274194,1.32611970329469,103.929554495615,103.929554495615
Jubilee Square,JUBILEE SQUARE,61,ANG MO KIO AVENUE 8,JUBILEE SQUARE,61 ANG MO KIO AVENUE 8 JUBILEE SQUARE SINGAPORE 569814,569814,29615.7860936848,39310.6009079777,1.37178558575829,103.847837565378,103.847837565378
Junction 9,DBS JUNCTION NINE,18,YISHUN AVENUE 9,DBS JUNCTION NINE,18 YISHUN AVENUE 9 DBS JUNCTION NINE SINGAPORE 768897,768897,28927.0907904897,46086.0364270695,1.43306021695327,103.841649364872,103.841649364872
Marsiling Mall,MARSILING MALL HAWKER CENTRE,4,WOODLANDS STREET 12,MARSILING MALL HAWKER CENTRE,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,738623,22053.3037563628,46139.5079379082,1.43354318137534,103.77988189197,103.77988189197
Northpoint City,NORTHPOINT CITY,930,YISHUN AVENUE 2,NORTHPOINT CITY,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098,769098,28273.5290191257,45714.3116263431,1.42969848626288,103.835776491468,103.835776491468
Sembawang Shopping Centre,SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27057.045284275,47055.1697449628,1.44182470675733,103.824845207237,103.824845207237
Sun Plaza,SUN PLAZA,30,SEMBAWANG DRIVE,SUN PLAZA,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,757713,26462.4476639526,47759.6068513971,1.44819535371132,103.819502127155,103.819502127155
Vista Point,VISTA POINT,548,WOODLANDS DRIVE 44,VISTA POINT,548 WOODLANDS DRIVE 44 VISTA POINT SINGAPORE 730548,730548,23616.35523888,45846.8909037989,1.43089714603015,103.793927429476,103.793927429476
Wisteria Mall,WISTERIA MALL,598,YISHUN RING ROAD,WISTERIA MALL,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,768698,28884.7489383351,44415.5435907897,1.41795288501536,103.841268831617,103.841268831617
Woodlands Mart,WOODLANDS MART,768,WOODLANDS AVENUE 6,WOODLANDS MART,768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768,730768,24085.287001106,47475.1842685193,1.44562290720221,103.798140993891,103.798140993891
Woodlands North Plaza,WOODLANDS NORTH PLAZA,883,WOODLANDS STREET 82,WOODLANDS NORTH PLAZA,883 WOODLANDS STREET 82 WOODLANDS NORTH PLAZA SINGAPORE 730883,730883,23240.3015716588,47157.8955284692,1.44275333260237,103.790548015512,103.790548015512
Waterway Point,WATERWAY POINT,83,PUNGGOL CENTRAL,WATERWAY POINT,83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,828761,35655.0554567808,43147.5521318838,1.40648462132006,103.902105680785,103.902105680785
Compass One,COMPASS ONE,1,SENGKANG SQUARE,COMPASS ONE,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,545078,34872.1834410084,41551.7693360616,1.39205314156706,103.89507054384,103.89507054384
Hougang Mall,HOUGANG MALL,90,HOUGANG AVENUE 10,HOUGANG MALL,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,538766,34728.1240016175,39389.1175711397,1.37249493810003,103.893775562605,103.893775562605
Heartland Mall,HEARTLAND MALL-KOVAN,205,HOUGANG STREET 21,HEARTLAND MALL-KOVAN,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,530205,33770.1681960914,37956.7995033581,1.35954177325561,103.885167372726,103.885167372726
NEX,NEX,23,SERANGOON CENTRAL,NEX,23 SERANGOON CENTRAL NEX SINGAPORE 556083,556083,32337.7653476875,36986.7628374919,1.35076935257845,103.872296143862,103.872296143862
Greenwich V,GREENWICH V,1,SELETAR ROAD,GREENWICH V,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,807011,31986.0138748605,41036.6794434916,1.38739539397015,103.869135978173,103.869135978173
Hougang 1,HOUGANG 1,1,HOUGANG STREET 91,HOUGANG 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,538692,33136.3424516348,39745.1742408983,1.37571530699875,103.879472337592,103.879472337592
Hougang Green Shopping Mall,HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34066.6627102559,40135.5216910187,1.3792452907016,103.887832017102,103.887832017102
myVillage At Serangoon Garden,MYVILLAGE AT SERANGOON GARDEN,1,MAJU AVENUE,MYVILLAGE AT SERANGOON GARDEN,1 MAJU AVENUE MYVILLAGE AT SERANGOON GARDEN SINGAPORE 556679,556679,31543.5162021946,38573.0096142385,1.36511490572797,103.865159501442,103.865159501442
Oasis Terraces,OASIS TERRACES,681,PUNGGOL DRIVE,OASIS TERRACES,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,820681,36891.3954429701,42737.9701953474,1.40278015725693,103.913215101343,103.913215101343
Punggol Plaza,PUNGGOL PLAZA,168,PUNGGOL FIELD,PUNGGOL PLAZA,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,820168,36872.7560856491,41793.3313643504,1.39423719717117,103.913047323223,103.913047323223
Rivervale Mall,RIVERVALE MALL,11,RIVERVALE CRESCENT,RIVERVALE MALL,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,545082,35918.3976602554,41567.7920261901,1.39219777838449,103.904471600025,103.904471600025
Rivervale Plaza,RIVERVALE PLAZA,118,RIVERVALE DRIVE,RIVERVALE PLAZA,118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118,540118,35625.6731445352,40809.1926632598,1.38533736107771,103.901841044122,103.901841044122
Seletar Mall,THE SELETAR MALL,33,SENGKANG WEST AVENUE,THE SELETAR MALL,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,797653,32763.8501456464,41487.2587586138,1.39147015374628,103.876125507257,103.876125507257
Buangkok Square,BUANGKOK SQUARE,991,BUANGKOK LINK,BUANGKOK SQUARE,991 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530991,530991,33375.6730938945,40698.2200346421,1.38433426615655,103.881623070164,103.881623070164
Midtown,MIDTOWN BAY,122,BEACH ROAD,MIDTOWN BAY,122 BEACH ROAD MIDTOWN BAY SINGAPORE 189770,189770,30676.5743168239,30970.0649454799,1.29635666439809,103.85736876917,103.85736876917
Upper Serangoon Shopping Centre,UPPER SERANGOON SHOPPING CENTRE,756,UPPER SERANGOON ROAD,UPPER SERANGOON SHOPPING CENTRE,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,534626,33064.697135333,37286.5960918665,1.35348082277147,103.878828134896,103.878828134896
Beauty World Centre,BEAUTY WORLD CENTRE,144,UPPER BUKIT TIMAH ROAD,BEAUTY WORLD CENTRE,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,588177,21681.0911870794,36062.7591135893,1.34241264188642,103.776539385406,103.776539385406
Beauty World Plaza,BEAUTY WORLD PLAZA,140,UPPER BUKIT TIMAH ROAD,BEAUTY WORLD PLAZA,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176,588176,21649.9257879127,35995.0375873558,1.34180018619223,103.776259359854,103.776259359854
Bukit Panjang Plaza,BUKIT PANJANG PLAZA,1,JELEBU ROAD,BUKIT PANJANG PLAZA,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,677743,20325.461808118,40210.2194124069,1.37992045176243,103.764357180314,103.764357180314
Bukit Timah Plaza,BUKIT TIMAH PLAZA,1,JALAN ANAK BUKIT,BUKIT TIMAH PLAZA,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996,588996,21910.4149615103,35658.7866516709,1.33875930729064,103.778600077834,103.778600077834
Fajar Shopping Centre,FAJAR SHOPPING CENTRE,445,FAJAR ROAD,FAJAR SHOPPING CENTRE,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,670445,21038.9723480316,40614.8899751026,1.38358032362676,103.770768501474,103.770768501474
Greenridge Shopping Centre,GREENRIDGE SHOPPING CENTRE,524A,JELAPANG ROAD,GREENRIDGE SHOPPING CENTRE,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524,671524,20533.7299018195,40816.7439803742,1.38540569283271,103.766228468185,103.766228468185
Hillion Mall,HILLION MALL,17,PETIR ROAD,HILLION MALL,17 PETIR ROAD HILLION MALL SINGAPORE 678278,678278,20156.924196275,40045.5291337073,1.37843100827586,103.762842789877,103.762842789877
HillV2,HILLV2,4,HILLVIEW RISE,HILLV2,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,667979,20304.9008575827,38303.2499323208,1.36267450828024,103.76417292006,103.76417292006
Junction 10,JUNCTION 10,1,WOODLANDS ROAD,JUNCTION 10,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,677899,19859.2468093075,40256.2722101696,1.38033681049385,103.760167883439,103.760167883439
Keat Hong Shopping Centre,KEAT HONG SHOPPING CENTRE,253,CHOA CHU KANG AVENUE 1,KEAT HONG SHOPPING CENTRE,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253,680253,18103.7591441153,39927.8427333515,1.37736607441394,103.744393648768,103.744393648768
Limbang Shopping Centre,LIMBANG SHOPPING CENTRE,533A,CHOA CHU KANG STREET 51,LIMBANG SHOPPING CENTRE,533A CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 681533,681533,17991.8168503707,41507.1441277526,1.39164865474084,103.743387228295,103.743387228295
Lot One,"LOT ONE, SHOPPERS' MALL",21,CHOA CHU KANG AVENUE 4,"LOT ONE, SHOPPERS' MALL","21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL SINGAPORE 689812",689812,18172.5792770851,40769.1529334113,1.38497459672379,103.745011766388,103.745011766388
Rail Mall,THE RAIL MALL,452,UPPER BUKIT TIMAH ROAD,THE RAIL MALL,452 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678206,678206,20684.6500337403,37981.0361372996,1.35976061966283,103.767585300058,103.767585300058
Sunshine Place,SUNSHINE PLACE,475,CHOA CHU KANG AVENUE 3,SUNSHINE PLACE,475 CHOA CHU KANG AVENUE 3 SUNSHINE PLACE SINGAPORE 680475,680475,17505.2381877424,39986.603392737,1.37789727599928,103.739015486021,103.739015486021
Teck Whye Shopping Centre,TECK WHYE SHOPPING CENTRE,137,TECK WHYE LANE,TECK WHYE SHOPPING CENTRE,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,680137,19004.1078333827,40224.3126699142,1.38004752975397,103.752483841199,103.752483841199
West Mall,WEST MALL,1,BUKIT BATOK CENTRAL LINK,WEST MALL,1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713,658713,18643.5269172937,36903.9429145474,1.35001920979845,103.749244800677,103.749244800677
Yew Tee Point,UOB YEW TEE POINT,21,CHOA CHU KANG NORTH 6,UOB YEW TEE POINT,21 CHOA CHU KANG NORTH 6 UOB YEW TEE POINT SINGAPORE 689578,689578,18356.2918939041,42105.204496216,1.39705741516141,103.746662121143,103.746662121143
Yew Tee Square,YEW TEE SQUARE,624,CHOA CHU KANG STREET 62,YEW TEE SQUARE,624 CHOA CHU KANG STREET 62 YEW TEE SQUARE SINGAPORE 680624,680624,18403.3321240991,42214.6661470886,1.39804736153015,103.747084778932,103.747084778932
VivoCity,VIVOCITY,1,HARBOURFRONT WALK,VIVOCITY,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585,098585,26774.2363178767,27424.6391711198,1.26429316783973,103.82230469365,103.82230469365
HarbourFront Centre,HARBOURFRONT CENTRE,1,MARITIME SQUARE,HARBOURFRONT CENTRE,1 MARITIME SQUARE HARBOURFRONT CENTRE SINGAPORE 099253,099253,26544.8211341351,27388.8962539714,1.26396991176004,103.820243325181,103.820243325181
Alexandra Retail Centre,ALEXANDRA RETAIL CENTRE (ARC),460,ALEXANDRA ROAD,ALEXANDRA RETAIL CENTRE (ARC),460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963,119963,24447.647553565,28514.458416285,1.27414893629254,103.801399416665,103.801399416665
321 Clementi,321 CLEMENTI,321,CLEMENTI AVENUE 3,321 CLEMENTI,321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905,129905,20395.3064215332,32700.1500842664,1.31200212030821,103.764986676365,103.764986676365
Clementi Mall,THE CLEMENTI MALL,3155,COMMONWEALTH AVENUE WEST,THE CLEMENTI MALL,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,129588,20332.589403728,33020.1640930343,1.31489619639366,103.764423054189,103.764423054189
IMM,IMM BUILDING,2,JURONG EAST STREET 21,IMM BUILDING,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,609601,18371.5060051158,35245.7317969501,1.3350228681678,103.746801051271,103.746801051271
JCube,JCUBE,2,JURONG EAST CENTRAL 1,JCUBE,2 JURONG EAST CENTRAL 1 JCUBE SINGAPORE 609731,609731,17635.4316216484,35057.8095997591,1.33332312550425,103.740187071348,103.740187071348
Jem,JEM,50,JURONG GATEWAY ROAD,JEM,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549,608549,17979.5026238747,35054.5037911125,1.33329334473462,103.743278742341,103.743278742341
Westgate,WESTGATE,3,GATEWAY DRIVE,WESTGATE,3 GATEWAY DRIVE WESTGATE SINGAPORE 608532,608532,17922.4971140614,35150.0792780221,1.33415767556867,103.742766484424,103.742766484424
Jurong Point,JURONG POINT,1,JURONG WEST CENTRAL 2,JURONG POINT,1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886,648886,13907.0305282837,35735.7564695235,1.33945271661445,103.70668501289,103.70668501289
Pioneer Mall,PIONEER MALL,638,JURONG WEST STREET 61,PIONEER MALL,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,640638,12848.6614737436,35983.4657739643,1.34169239214292,103.697174842118,103.697174842118
Star Vista,THE STAR VISTA,1,VISTA EXCHANGE GREEN,THE STAR VISTA,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,138617,23003.2346113659,32143.7136113811,1.30697044038323,103.788420274115,103.788420274115
Alexandra Central,ALEXANDRA CENTRAL,323,ALEXANDRA ROAD,ALEXANDRA CENTRAL,323 ALEXANDRA ROAD ALEXANDRA CENTRAL SINGAPORE 159972,159972,24894.5278183976,29985.8934036288,1.28745612377699,103.805414652014,103.805414652014
Anchorpoint,ANCHORPOINT SHOPPING CENTRE,368,ALEXANDRA ROAD,ANCHORPOINT SHOPPING CENTRE,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,159952,24916.023050786,30149.3953310214,1.28893477974497,103.805607779399,103.805607779399
Boon Lay Shopping Centre,BOON LAY SHOPPING CENTRE,221,BOON LAY PLACE,BOON LAY SHOPPING CENTRE,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221,640221,14546.4666856667,36496.7915879078,1.34633552457315,103.712430373455,103.712430373455
Grantral Mall,GRANTRAL MALL @ CLEMENTI,3151,COMMONWEALTH AVENUE WEST,GRANTRAL MALL @ CLEMENTI,3151 COMMONWEALTH AVENUE WEST GRANTRAL MALL @ CLEMENTI SINGAPORE 129581,129581,20413.2100247061,32950.9688186739,1.31427043922294,103.765147487482,103.765147487482
Fairprice Hub,FAIRPRICE HUB,1,JOO KOON CIRCLE,FAIRPRICE HUB,1 JOO KOON CIRCLE FAIRPRICE HUB SINGAPORE 629117,629117,10760.1903017079,34206.1238678284,1.32561767765205,103.678409741897,103.678409741897
Gek Poh Shopping Centre,GEK POH SHOPPING CENTRE,762,JURONG WEST STREET 75,GEK POH SHOPPING CENTRE,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762,640762,12910.7207379946,36763.1478772014,1.34874357136408,103.697732091001,103.697732091001
Rochester Mall,ROCHESTER MALL,35,ROCHESTER DRIVE,ROCHESTER MALL,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639,138639,23006.1702728383,31970.9088191949,1.30540765569962,103.788446680148,103.788446680148
Taman Jurong Shopping Centre,TAMAN JURONG SHOPPING CENTRE,399,YUNG SHENG ROAD,TAMAN JURONG SHOPPING CENTRE,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399,610399,15440.244104865,35226.1689331774,1.33484487416514,103.720462024278,103.720462024278
West Coast Plaza,WEST COAST PLAZA,154,WEST COAST ROAD,WEST COAST PLAZA,154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371,127371,20522.6670748433,31781.8626809642,1.30369748971099,103.766131294678,103.766131294678
Queensway Shopping Centre,QUEENSWAY SHOPPING CENTRE,1,QUEENSWAY,QUEENSWAY SHOPPING CENTRE,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,149053,24669.3282080879,30003.7871697061,1.2876179255874,103.803391140455,103.803391140455
